City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
125,Salalah,OM,17.0151,54.0924,66.2,45,0,4.61,clear sky
126,Saint George,US,37.1041,-113.5841,62.01,33,1,4.41,clear sky
127,Hobart,AU,-42.8794,147.3294,70.0,48,75,8.05,broken clouds
128,Walvis Bay,NA,-22.9575,14.5053,69.01,83,26,8.05,scattered clouds
129,Along,IN,28.1667,94.7667,53.6,60,22,1.79,few clouds
130,Upernavik,GL,72.7868,-56.1549,-2.31,81,0,8.21,clear sky
131,Davydivka,UA,48.121,25.5646,12.99,66,9,11.23,clear sky
132,New Plymouth,NZ,-39.0667,174.0833,64.0,65,26,5.99,scattered clouds
133,Deer Lake,CA,49.1667,-57.4316,28.4,74,75,5.75,broken clouds
134,Vostok,RU,46.4856,135.8833,26.96,97,100,5.75,overcast clouds
135,Kalmunai,LK,7.4167,81.8167,73.83,91,38,7.78,scattered clouds
136,San Cristobal,VE,7.7669,-72.225,68.22,73,91,0.18,overcast clouds
137,Daru,PG,-9.0763,143.2092,82.67,82,63,7.92,broken clouds
138,Dekar,BW,-21.5333,21.9333,66.69,84,99,3.91,overcast clouds
139,Arraial Do Cabo,BR,-22.9661,-42.0278,76.37,88,100,18.28,moderate rain
140,Sisimiut,GL,66.9395,-53.6735,12.25,92,90,5.84,overcast clouds
141,Illapel,CL,-31.6308,-71.1653,65.44,69,0,1.77,clear sky
142,Shakiso,ET,5.75,38.9167,56.53,63,40,3.38,scattered clouds
143,Quang Ngai,VN,15.1167,108.8,66.04,80,83,4.47,broken clouds
144,Oktyabrskoye,RU,43.0645,44.7417,33.8,100,100,4.47,overcast clouds
145,Axim,GH,4.8699,-2.2405,80.73,86,6,7.63,clear sky
146,Clyde River,CA,70.4692,-68.5914,-0.4,85,100,20.71,light snow
147,Eina,NO,60.6295,10.5993,1.4,92,0,3.44,clear sky
148,Zeya,RU,53.75,127.2667,12.11,94,100,6.31,light snow
149,Xai-Xai,MZ,-25.0519,33.6442,77.92,89,100,10.69,moderate rain
150,Vrangel,RU,42.7297,133.0839,36.59,83,99,3.11,overcast clouds
151,Torbay,CA,47.6666,-52.7314,30.99,93,90,33.38,snow
152,Carnarvon,AU,-24.8667,113.6333,84.2,84,40,8.05,scattered clouds
153,Xichang,CN,27.8964,102.2634,48.36,58,2,1.03,clear sky
154,Victoria,HK,22.2855,114.1577,64.99,82,81,3.0,broken clouds
155,Jamestown,US,42.097,-79.2353,15.8,73,75,5.75,broken clouds
156,Bonavista,CA,48.6499,-53.1147,30.99,93,100,11.5,light snow
157,Barra Dos Coqueiros,BR,-10.9089,-37.0386,80.6,69,20,10.36,few clouds
158,Cherskiy,RU,68.75,161.3,-21.01,82,0,1.59,clear sky
