City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Kodiak,US,2021-02-07 01:54:17,57.79,-152.4072,37.4,65,1,10.36
91,Askiz,RU,2021-02-07 01:54:18,53.1319,90.5264,13.96,92,1,1.63
92,Aitape,PG,2021-02-07 01:54:18,-3.1374,142.3475,82.54,76,99,5.88
93,Kapaa,US,2021-02-07 01:54:18,22.0752,-159.319,73.4,49,40,6.91
94,Pevek,RU,2021-02-07 01:52:26,69.7008,170.3133,-6.57,87,0,4.9
95,Saint-Andre-Avellin,CA,2021-02-07 01:54:18,45.7168,-75.066,17.6,53,20,5.75
96,Tubuala,PA,2021-02-07 01:54:18,9.5167,-79.0333,80.6,83,40,6.91
97,Hilo,US,2021-02-07 01:54:19,19.7297,-155.09,78.8,53,75,5.75
98,Igarka,RU,2021-02-07 01:54:19,67.4667,86.5833,-22.47,84,2,10.69
99,Saskylakh,RU,2021-02-07 01:51:03,71.9167,114.0833,-42.0,78,24,7.58
100,Nome,US,2021-02-07 01:54:19,64.5011,-165.4064,17.6,73,90,3.44
101,Sibolga,ID,2021-02-07 01:52:41,1.7427,98.7792,83.26,62,43,1.28
102,Murray,US,2021-02-07 01:49:44,40.6669,-111.888,46.4,56,40,16.11
103,Oranjemund,NA,2021-02-07 01:54:20,-28.55,16.4333,64.89,91,86,16.31
104,Predivinsk,RU,2021-02-07 01:54:20,57.0669,93.4378,19.47,95,100,7.52
105,Korla,CN,2021-02-07 01:54:20,41.7597,86.1469,27.1,85,33,2.51
106,Port Elizabeth,ZA,2021-02-07 01:54:20,-33.918,25.5701,63.0,90,4,13.22
107,Goryachegorsk,RU,2021-02-07 01:54:21,55.4053,88.9154,20.64,95,64,6.91
108,Kununurra,AU,2021-02-07 01:50:56,-15.7667,128.7333,84.2,84,75,5.75
109,Hatillo,PR,2021-02-07 01:54:21,18.4863,-66.8254,75.99,83,100,10.85
110,Portland,US,2021-02-07 01:50:45,45.5234,-122.6762,46.99,87,90,16.11
111,Khatanga,RU,2021-02-07 01:54:21,71.9667,102.5,-34.62,78,0,8.95
112,Limbourg,NL,2021-02-07 01:54:22,51.25,6.0,33.01,94,100,3.0
113,Barrow,US,2021-02-07 01:50:29,71.2906,-156.7887,-5.8,77,90,14.97
114,Ostrovnoy,RU,2021-02-07 01:52:00,68.0531,39.5131,8.35,92,100,10.76
115,Keshorai Patan,IN,2021-02-07 01:54:22,25.3,75.9333,51.46,49,0,0.74
116,Severo-Kurilsk,RU,2021-02-07 01:54:22,50.6789,156.125,22.71,93,93,21.92
117,Tasiilaq,GL,2021-02-07 01:54:23,65.6145,-37.6368,33.8,55,82,28.77
118,Leningradskiy,RU,2021-02-07 01:50:53,69.3833,178.4167,-10.28,74,0,5.77
119,Namibe,AO,2021-02-07 01:54:23,-15.1961,12.1522,70.39,80,67,5.32
120,Sioux Lookout,CA,2021-02-07 01:51:40,50.1001,-91.917,-13.0,64,90,11.5
121,Imeni Poliny Osipenko,RU,2021-02-07 01:54:23,52.4201,136.4853,2.62,90,100,13.2
122,Ambulu,ID,2021-02-07 01:52:38,-8.345,113.6058,84.38,70,39,0.49
123,Dwarka,IN,2021-02-07 01:54:24,22.2394,68.9678,68.09,51,0,15.52
124,Rauma,FI,2021-02-07 01:54:24,61.1272,21.5113,10.4,92,40,5.75
125,Tocopilla,CL,2021-02-07 01:54:24,-22.092,-70.1979,68.13,68,10,3.98
126,Chuy,UY,2021-02-07 01:54:24,-33.6971,-53.4616,66.58,90,0,8.77
127,Nikolskoye,RU,2021-02-07 01:54:24,59.7035,30.7861,10.4,85,75,15.66
128,Pizhanka,RU,2021-02-07 01:54:24,57.4604,48.542,-5.93,91,100,11.59
129,Bluff,NZ,2021-02-07 01:50:57,-46.6,168.3333,61.45,71,0,7.96
130,San Luis,AR,2021-02-07 01:52:46,-33.295,-66.3356,72.37,39,0,7.87
131,Pringsewu,ID,2021-02-07 01:53:10,-5.3582,104.9744,79.56,82,98,6.15
132,Poum,NC,2021-02-07 01:54:25,-20.2333,164.0167,80.24,68,0,5.64
133,Seevetal,DE,2021-02-07 01:54:25,53.4,9.9667,27.0,59,90,18.41
134,Victoria,HK,2021-02-07 01:52:58,22.2855,114.1577,73.0,46,0,11.01
135,Caceres,ES,2021-02-07 01:54:26,39.522,-6.3748,43.0,89,0,6.24
136,Jamalpur,BD,2021-02-07 01:54:26,24.9167,89.9333,63.18,52,99,9.28
137,Timizart,DZ,2021-02-07 01:54:26,36.8,4.2667,50.5,77,38,5.37
138,Salalah,OM,2021-02-07 01:54:26,17.0151,54.0924,73.4,68,75,2.3
139,Caravelas,BR,2021-02-07 01:51:12,-17.7125,-39.2481,78.15,86,100,10.42
140,Dingle,PH,2021-02-07 01:52:48,10.9995,122.6711,81.48,81,79,15.01
141,Luganville,VU,2021-02-07 01:54:27,-15.5333,167.1667,84.61,66,34,8.1
142,Victor Harbor,AU,2021-02-07 01:54:27,-35.5667,138.6167,63.0,79,96,3.0
143,Muroto,JP,2021-02-07 01:54:27,33.2833,134.15,55.4,44,20,4.61
144,Koutiala,ML,2021-02-07 01:54:27,12.3917,-5.4642,78.93,18,97,6.06
145,Harpanahalli,IN,2021-02-07 01:54:28,14.8,75.9833,64.51,56,80,6.11
146,Chokurdakh,RU,2021-02-07 01:54:28,70.6333,147.9167,-21.35,86,98,4.23
147,Tuktoyaktuk,CA,2021-02-07 01:54:28,69.4541,-133.0374,-16.6,76,90,19.57
148,Zaqatala,AZ,2021-02-07 01:54:28,41.6336,46.6433,42.8,75,75,6.91
149,Abha,SA,2021-02-07 01:54:28,18.2164,42.5053,46.4,87,40,0.92
150,Balasheyka,RU,2021-02-07 01:54:28,53.2841,48.0851,-5.15,90,92,10.76
151,Ayan,RU,2021-02-07 01:54:29,56.45,138.1667,0.27,91,100,13.11
152,Humaita,BR,2021-02-07 01:54:29,-7.5061,-63.0208,74.35,97,95,2.17
153,Half Moon Bay,US,2021-02-07 01:50:54,37.4636,-122.4286,61.0,71,1,8.05
154,Klaksvik,FO,2021-02-07 01:50:32,62.2266,-6.589,33.8,75,75,18.41
155,Berbera,SO,2021-02-07 01:54:29,10.4396,45.0143,74.25,77,88,5.48
156,Rawson,AR,2021-02-07 01:52:43,-43.3002,-65.1023,58.24,71,13,18.92
157,Qaanaaq,GL,2021-02-07 01:54:30,77.484,-69.3632,10.69,87,100,7.56
158,Kahului,US,2021-02-07 01:51:00,20.8947,-156.47,78.8,50,40,11.5
159,Solnechnyy,RU,2021-02-07 01:54:30,50.7214,136.6319,1.27,88,100,6.17
160,Jasper,US,2021-02-07 01:54:30,37.2001,-94.3502,26.6,74,90,13.8
161,Znamenskoye,RU,2021-02-07 01:54:30,57.1281,73.8282,28.13,98,100,14.63
162,Bambanglipuro,ID,2021-02-07 01:54:31,-7.95,110.2833,84.11,69,9,4.81
163,Faanui,PF,2021-02-07 01:54:31,-16.4833,-151.75,82.53,68,0,10.47
164,Nanortalik,GL,2021-02-07 01:54:31,60.1432,-45.2371,24.98,88,100,9.28
165,Zlitan,LY,2021-02-07 01:54:31,32.4674,14.5687,67.64,30,100,15.12
166,Saint George,US,2021-02-07 01:51:44,37.1041,-113.5841,57.2,17,1,11.5
167,Dzhida,RU,2021-02-07 01:54:31,50.6772,106.1806,-0.96,88,97,4.7
168,Qandala,SO,2021-02-07 01:50:28,11.472,49.8728,74.53,79,22,1.43
169,Brae,GB,2021-02-07 01:52:46,60.3964,-1.353,33.8,60,90,17.27
170,Xiaoshi,CN,2021-02-07 01:54:32,41.2971,124.1209,17.6,49,0,8.95
171,Woodland,US,2021-02-07 01:54:32,38.6785,-121.7733,62.6,55,1,5.75
172,Maragogi,BR,2021-02-07 01:54:32,-9.0122,-35.2225,77.18,86,93,7.36
173,Provideniya,RU,2021-02-07 01:54:32,64.3833,-173.3,1.45,87,2,7.23
174,Kilinochchi,LK,2021-02-07 01:54:33,9.3961,80.3982,76.55,85,64,8.95
175,Kormilovka,RU,2021-02-07 01:54:33,55.0026,74.1028,33.8,100,75,17.9
176,Paita,PE,2021-02-07 01:50:57,-5.0892,-81.1144,74.64,76,83,12.64
177,Ancud,CL,2021-02-07 01:51:21,-41.8697,-73.8203,62.6,51,0,11.5
