City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
445,Ouidah,BJ,84.2,scattered clouds,6.3631,2.0851,Djegba Hotel
448,Manado,ID,80.6,moderate rain,1.4869999999999999,124.8455,Aryaduta Hotel
454,Corn Island,NI,79.36,broken clouds,12.1694,-83.0418,Big Fish Guest House
456,Owando,CG,78.01,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
459,Carmen,MX,78.8,broken clouds,18.6333,-91.8333,Hotel Lossandes
463,Ellisras,ZA,72.21,overcast clouds,-23.6649,27.7443,Lapa le le guesthouse
465,Ndjole,GA,75.88,overcast clouds,-0.1783,10.7649,Hotel Kevazingo
466,Ler,SS,75.36,clear sky,8.3018,30.1418,
467,Ranong,TH,73.4,clear sky,9.9658,98.6348,Tinidee Hotel@Ranong
469,Borborema,BR,70.47,overcast clouds,-21.6197,-49.0736,Reday Hotel
471,Pozo Colorado,PY,76.77,broken clouds,-23.4923,-58.7972,Hospedaje la Amistad
472,Mbuji-Mayi,CD,70.45,overcast clouds,-6.15,23.6,HOTEL METROPOLE DU KASAI
478,Pisco,PE,73.4,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
482,Novo Oriente,BR,76.35,clear sky,-5.5344,-40.7742,Golden Palace Hotel
486,Sabang,ID,82.76,broken clouds,5.8933,95.3214,Hotel Citra
488,Bucerias,MX,71.6,scattered clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
495,Vao,NC,78.78,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
497,Kudahuvadhoo,MV,81.88,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
498,Lamu,KE,78.8,haze,-2.2717,40.902,Lamu House
500,Bonthe,SL,78.21,clear sky,7.5264,-12.505,Bonthe Holiday Village
505,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
509,Kantunilkin,MX,78.8,scattered clouds,21.0917,-87.45,Posada Paraiso
512,Gorontalo,ID,81.59,heavy intensity rain,0.5412,123.0595,Maqna Hotel by Prasanthi
513,Sikasso,ML,73.96,clear sky,10.9167,-7.0,
514,Lusambo,CD,70.63,overcast clouds,-4.9667,23.45,
515,Tiarei,PF,86.0,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
517,Port-Gentil,GA,81.61,light rain,-0.7193,8.7815,Fengshui Residence
520,Oistins,BB,78.8,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
524,Jacqueville,CI,82.4,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
525,San Carlos De Bariloche,AR,71.6,broken clouds,-41.1456,-71.3082,Hotel Patagonia
526,Sagpon,PH,80.31,overcast clouds,13.15,123.7333,Hotel St. Ellis
527,San Luis,AR,71.6,scattered clouds,-33.295,-66.3356,Huarpes Hotel
530,Talara,PE,74.68,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
532,Bima,ID,83.3,overcast clouds,-8.4667,118.7167,Lambitu Hotel
533,Malindi,KE,77.23,overcast clouds,-3.2175,40.1191,African House Resort
542,Vila Velha,BR,78.01,light rain,-20.3297,-40.2925,Hotel Vitória Palace
545,Mecca,SA,74.19,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
547,Fayaoue,NC,80.13,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
549,Okato,NZ,70.0,scattered clouds,-39.2,173.8833,Goodin Country Garden
550,Upata,VE,75.99,clear sky,8.0086,-62.3989,Posada Villa Nela
554,Ixtapa,MX,71.6,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
559,Canto Do Buriti,BR,76.91,broken clouds,-8.11,-42.9444,Novo Hotel
561,Batemans Bay,AU,70.0,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
562,Beira,MZ,74.97,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
566,Finschhafen,PG,84.83,light rain,-6.6024,147.8681,Cossam Guest House
567,Male,MV,80.6,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
570,Chanthaburi,TH,80.01,clear sky,12.8333,102.1667,Home Valley Station Garden River.
574,Bloomingdale,US,73.99,scattered clouds,27.8936,-82.2404,Travel Club for Free
